txhash,drawn,unknown,all_positive,eth_profit,profit_graph,profit_calcs
0xa7af8d540e8470de728e44fd0acb0bc03a063f3ba39f76c1a9c8f9943e29419e,False,True,True,0,[],{}
0x7585adfc9d619df94187f983c270088d7112d52d6e037ec6b7162920953504e3,False,True,True,0,[],{}
0xcfce835bf32ad79ff23c98906b05dc217c88447240f66074053eb218580345e4,False,True,True,0,[],{}
0x26d9cf29e9af0d6b9c78430294d977041be71084a0e245baee158daaedd6922f,False,True,True,0,[],{}
0xb7b55059fb9fb8812c2420c2a18a6a95d176329bcf019bfe42ea8624f0fe4665,False,True,True,0,[],{}
0xd0229bb25a54f27d7462ee2e5837ae63e294784a732c82786c75b12d465c7b5e,False,True,True,0,[],{}
0x9dbc8d139ea65cba3850e802cf69c8cd610d67871b1c6bd25e043a86c4e863b3,False,True,True,0,[],{}
0x21a79549609d181c79588ebff89e3121ad1e5d506ee9df463853b8e9377555e4,False,True,True,0,[],{}
0xf58597f8c6772cb1d9499ee5b1935fd72f4ac96d2d0ab1e022964b2f9f825dc3,False,True,True,0,[],{}
0xc785434fffd82b88ce7c9a1f4bfe60d9550f9da6e4133b38f5f2883d6ebf68e0,False,True,True,0,[],{}
0xd663d0847aa0e936389bd6c8e0b15fe75460d9acd39670f114a9f48a87b34181,False,True,True,0,[],{}
0x921ebafc00c0264797b0ff01ab4b3f4f7f85403d24f3b819261e310da87a6992,False,True,True,0,[],{}
0x8b93160bca1967748b98a8d85b0bffc867d99d2207229034e58769835df90f71,False,True,True,0,[],{}
0x0a2008e79a211946593f561a1159dbaf6c4d42385782568fdf31fb446923047e,False,True,True,0,[],{}
0xd702b093676a7b8da015a6a38f5a1fd6093f172685ad0339cef013433f19a87d,False,True,True,0,[],{}
0x019d14eda9fd38ede251c935da843df720148b94a320b6aa9eed0fee51a19eaa,False,True,True,0,[],{}
0x8a1e534de06ed8b9967c15bfa76e724df387b348668372949fb787bcedbb7691,False,True,True,0,[],{}
0x70531710def9a739988291d31483acb0c3fa04171b89d9696b251284c3e43f32,False,True,True,0,[],{}
0x66b2e924d4ad717d094f0352eff4c44ceffdf44efab5cda07a4806056565ba5a,False,True,True,0,[],{}
0x3cba5ab8537d3e00e97439ba1ac12b1af0c77d86ac8d73d2127df406855089e4,False,True,True,0,[],{}
0x61436d19fcec0e0e5fc993577b92ac744fba1cd88b26fb807df8571e8c179b2d,False,True,True,0,[],{}
0x2e2e6c7abc23b9ee3a3e2aed9b5402e3a1192ea9c5cca1c95d0afa5a9ec817d6,False,True,True,0,[],{}
0xd244cf8ac8b07748fc1448148664309e92d1db61ee36c6fffb7333aded33a1b0,False,True,True,0,[],{}
0x9775c7da72b7135265b26b05df19ba1fb8680b3d5cef562f943d6a50e5de5e4f,False,True,True,0,[],{}
0xc8e8ecd52b4cd47b3baf9bfadde70605a7436480decc3dd1749ffa2473d56148,False,True,True,0,[],{}
0x8496b91bab1f03bc447b954d81993e845f8ba55bea62c150a4b199d8f649ea90,False,True,True,0,[],{}
0xc562693050345cf03c182236ed7252f58f89ef6c44e279b6e1b7b05eb8be8472,False,True,True,0,[],{}
0xfea386fea55cb54ebd667b8aff01a0cb01d4af7e0c8c86fe496d24ad3c37c747,False,True,True,0,[],{}
0x0dd65341466d7347060c7a5768fbf625b85f21f9d97b627f120240395963fc45,False,True,True,0,[],{}
0x1be53094154d5a68cda9db98df3d846214d90f381b73137040c94d2bee54625f,False,True,True,0,[],{}
0xed65965e4f8d4935ab01325542388fd72508d1ede773cf95ed02b18e46ecc9b7,False,True,True,0,[],{}
0xe822541eb10905ed42938780cc338382bf79261348aeecd8c1115475d16d4a0a,False,True,True,0,[],{}
0x9a8aabde805bdce886e558ec4417d07a3f4e276c80b5277d817696a298162ba7,False,True,True,0,[],{}
0xa30ac5d643fbca3880c823a88879ac71343509b57d0fad79bcf41076a52b8dd7,False,True,True,0,[],{}
0x1df495bc5d68415260063bcdf6be8e7c8b06be61645c7d2a2dc04756b04258da,False,True,True,0,[],{}
0xc2cf234b160d46e194c64faccfff249eba239736dd33b23dc7c92d882a7f3c32,False,True,True,0,[],{}
0xf8d31c7d820c524dde72380cabc6db13a3feeae1d21a5eb76645ff43e8a6d13a,False,True,True,0,[],{}
0x96e93a7c1129027140ea357c495a19866646b3e1400989ef4299eb521136f7f0,False,True,True,0,[],{}
0x39b00a662a40c1e61245ea380687044c2c80c0b94b848a75ee8c6bf330d1ba70,False,True,True,0,[],{}
0x5a26bc9b5ac59a797669cc71faec5c8a5af90e100ef37454855ec04801f12481,False,True,True,0,[],{}
0x870e5aae82abfefcbbe90a34eff8abbe1cb9a29426fe19031a199d79591ec4eb,False,True,True,0,[],{}
0x332d258c69c34f4848b600fc0bc41a867715fd168ba0c759e6122adf7b722100,False,True,True,0,[],{}
0xc374e272f5d6a291b02bdb64305bbacfd422e158a680aafea77a88d0fec00919,False,True,True,0,[],{}
0xbd1cd8e5ce6d7c95627ac133dfc1dfea9e57e7dca6243cffe562acd45f2aab83,False,True,True,0,[],{}
0x1acdeabd316b7175c34da490500931e201efd8d1cf7052615b9647fec7684532,False,True,True,0,[],{}
0x277f5d55b96e9f91632d4ecf7e36f2b6ddce927996dd55d30f92511deaaa1321,False,True,True,0,[],{}
0x20cf91821a451dc54526a2427132b709db1cc7c86717177be4ae461f9272d0ea,False,True,True,0,[],{}
0x5ae8d7055e2d0ec6e679dcefd89543f228a8bbba3e753b4cfb300b4b83ed6ef8,False,True,True,0,[],{}
0xbb739779937b7b21d1d2925a9c487241c9a754b8003e84538ad2f5c72c496ef3,False,True,True,0,[],{}
0x58d63702738673915a6e8ffa83b209a20993caab2c55f7fa8545a22b237bd97d,False,True,True,0,[],{}
0xe56ce3ce04eca6b4030c00f96ccdaa91165b630cc545916e09012cc98f2ab54c,False,True,True,0,[],{}
0x2945234056d16af92e4e42c50b54d78494d778b0ebb1a26312b1aa27f905de7e,False,True,True,0,[],{}
0x3aae0b65070ef17e149f265e345caf1fecf85591da89328a12607edac010b334,False,True,True,0,[],{}
0x898f3dfff60f55d67887a3087d885769c89198b52e0511127fe48b132f559efa,False,True,True,0,[],{}
0x7c5f981ec684ff1d9a9ea87959aeb5f8053ffc61e54cf4886b049f3cf8b778a5,False,True,True,0,[],{}
0xcb51c651f15af6f541a598bf1777c351e4f413f957b75a933b965a081e918ea5,False,True,True,0,[],{}
0x0465a8a7211f27cae81ea810fe00672ad4b6f7488e15ac42af19cbbca3f21aeb,False,True,True,0,[],{}
0x0f199de09117503ed1a67dd5354a03f5b43508bdd1d37a3ffd5bfdfa02ad2747,False,True,True,0,[],{}
0x3d0f581c035321d34e3f7762710997a3dc834c38dc28fa93c4d92eba7f05a9ac,False,True,True,0,[],{}
0x781c0942028acf62fe11f8484ed275ac8d7d068e7b04fdfa33c5fc07c7fadbe7,False,True,True,0,[],{}
0x03ec9f61b2a438119c4815f451c80488964c94c6b249904aadec4f40c5c0748b,False,True,True,0,[],{}
0xcdc94a100b7281d6fb7276b3958d844b74bec37fbd81aa6212f0cb52b3291552,False,True,True,0,[],{}
0x1ef3b0ffb16746861da8fb1ba1075af1b1e147dc590a147767daab991ffcd3cd,False,True,True,0,[],{}
0xfa1dc51d97a9910db467ed9b82fed440d103ad6882f8bbd4de78eac3fc6fd6a7,False,True,True,0,[],{}
0xb137484ddf4ab09a1d7c1476cc3d74288ac81b8e51ee7969175a1cf1c08e77c3,False,True,True,0,[],{}
0xd171e351a70f56f5732c2d7ed8ee8f82e2372c3df34a30091887860c0403afed,False,True,True,0,[],{}
0xf60dad4023a548d38ad7957ce643372e105b2fbb9560ea6614ff26efc9fc86ee,False,True,True,0,[],{}
0xf8a8e460b3f7f810a96882d62f6133db091a4225f3d582f67b42e73d3b821f92,False,True,True,0,[],{}
0xb487d29727c82b2a0f299ec523c5834eabca2a68d8a663cae37e80c7a2c16b66,False,True,True,0,[],{}
0x0ae93e97e2721365a91a1ceeecb76ce31f9ef83ff7903fe71084e99f3b0cbc28,False,True,True,0,[],{}
0x5c36316544adb42e60aaf3cb0458a4a76daa6697dca9abf7a84cb5ce9c34ec68,False,True,True,0,[],{}
0x1dcf70796d79aca7d3f18758f94e4de7804e15b62b27713934b994053f4fee2e,False,True,True,0,[],{}
0x36fd76547892482c02bcf1a36d003be9b46be124ba7050771fd2d85472224e16,False,True,True,0,[],{}
0xbc9c330bc4828cb231bdc0199283fd9f2b1b6618f98b4b5031ffa7ed2444f1af,False,True,True,0,[],{}
0x5ca7fd268ce4bca743f1bc27d44520877369bf257bc62013eef56fb730cfc5af,False,True,True,0,[],{}
